,Condition,Freeze,KeepTrain,Performance
503,Normal,Freeze,0,0.5020999908447266
504,Grow,No Freeze,0,0.4765999913215637
505,NoGrow,No Freeze,0,0.4848999977111816
506,Normal,No Freeze,0,0.4966999888420105
507,Grow,Freeze,0,0.4638999998569489
508,NoGrow,Freeze,0,0.4614999890327454
509,Normal,Freeze,0,0.507099986076355
510,Grow,No Freeze,0,0.4873999953269959
511,NoGrow,No Freeze,0,0.4781999886035919
512,Normal,No Freeze,0,0.5146999955177307
513,Grow,Freeze,0,0.445499986410141
514,NoGrow,Freeze,0,0.43540000915527344
515,Normal,Freeze,0,0.5065000057220459
516,Grow,No Freeze,0,0.474700003862381
517,NoGrow,No Freeze,0,0.481799989938736
518,Normal,No Freeze,0,0.5016999840736389
519,Grow,Freeze,0,0.44279998540878296
520,NoGrow,Freeze,0,0.4472000002861023
521,Normal,Freeze,0,0.5098000168800354
522,Grow,No Freeze,0,0.4898000061511994
523,NoGrow,No Freeze,0,0.4855000078678131
524,Normal,No Freeze,0,0.4952999949455261
525,Grow,Freeze,0,0.4528000056743622
526,NoGrow,Freeze,0,0.4284000098705292
527,Normal,Freeze,0,0.512499988079071
528,Grow,No Freeze,0,0.484499990940094
529,NoGrow,No Freeze,0,0.4832000136375427
530,Normal,No Freeze,0,0.5144000053405762
531,Grow,Freeze,0,0.4435999989509583
532,NoGrow,Freeze,0,0.4625999927520752
533,Normal,Freeze,0,0.5011000037193298
534,Grow,No Freeze,0,0.49470001459121704
535,NoGrow,No Freeze,0,0.4801999926567078
536,Normal,No Freeze,0,0.5006999969482422
537,Grow,Freeze,0,0.4519999921321869
538,NoGrow,Freeze,0,0.4566000103950501
539,Normal,Freeze,0,0.5062999725341797
540,Grow,No Freeze,0,0.4760999977588654
541,NoGrow,No Freeze,0,0.4973999857902527
542,Normal,No Freeze,0,0.4975999891757965
543,Grow,Freeze,0,0.45739999413490295
544,NoGrow,Freeze,0,0.4474000036716461
545,Normal,Freeze,0,0.512499988079071
546,Grow,No Freeze,0,0.4900000095367432
547,NoGrow,No Freeze,0,0.49549999833107
548,Normal,No Freeze,0,0.5105000138282776
549,Grow,Freeze,0,0.4544999897480011
550,NoGrow,Freeze,0,0.4537999927997589
551,Normal,Freeze,0,0.5040000081062317
552,Grow,No Freeze,0,0.4898000061511994
553,NoGrow,No Freeze,0,0.4896000027656555
554,Normal,No Freeze,0,0.4964999854564667
555,Grow,Freeze,0,0.44679999351501465
556,NoGrow,Freeze,0,0.4438000023365021
557,Normal,Freeze,0,0.49549999833107
558,Grow,No Freeze,0,0.481799989938736
559,NoGrow,No Freeze,0,0.4943000078201294
560,Normal,No Freeze,0,0.5224999785423279
561,Grow,Freeze,0,0.4449999928474426
562,NoGrow,Freeze,0,0.4300999939441681
563,Normal,Freeze,0,0.5037999749183655
564,Grow,No Freeze,0,0.4855999946594238
565,NoGrow,No Freeze,0,0.4842000007629394
566,Normal,No Freeze,0,0.5142999887466431
567,Grow,Freeze,0,0.4392000138759613
568,NoGrow,Freeze,0,0.4517999887466431
569,Normal,Freeze,0,0.4930000007152557
570,Grow,No Freeze,0,0.4832000136375427
571,NoGrow,No Freeze,0,0.4891999959945679
572,Normal,No Freeze,0,0.5131000280380249
573,Grow,Freeze,0,0.4408000111579895
574,NoGrow,Freeze,0,0.4507000148296356
575,Normal,Freeze,0,0.5038999915122986
576,Grow,No Freeze,0,0.4745000004768372
577,NoGrow,No Freeze,0,0.4762000143527985
578,Normal,No Freeze,0,0.5072000026702881
579,Grow,Freeze,0,0.46369999647140503
580,NoGrow,Freeze,0,0.4571999907493591
581,Normal,Freeze,0,0.4973999857902527
582,Grow,No Freeze,0,0.4846000075340271
583,NoGrow,No Freeze,0,0.47290000319480896
584,Normal,No Freeze,0,0.5001999735832214
585,Grow,Freeze,0,0.4499000012874603
586,NoGrow,Freeze,0,0.4528000056743622
587,Normal,Freeze,0,0.5067999958992004
588,Grow,No Freeze,0,0.4749000072479248
589,NoGrow,No Freeze,0,0.4873999953269959
590,Normal,No Freeze,0,0.499099999666214
591,Grow,Freeze,0,0.4483999907970429
592,NoGrow,Freeze,0,0.4551999866962433
593,Normal,Freeze,0,0.4952000081539154
594,Grow,No Freeze,0,0.4749000072479248
595,NoGrow,No Freeze,0,0.4873999953269959
596,Normal,No Freeze,0,0.4925999939441681
597,Grow,Freeze,0,0.3844999969005585
598,NoGrow,Freeze,0,0.4629999995231629
599,Normal,Freeze,0,0.5066999793052673
600,Grow,No Freeze,10,0.5347999930381775
601,Grow,No Freeze,10,0.52920001745224
